"Cmd.","Sub cmd.","Data","Description"
"1A","05,0013","00 to 05","Send/read the Time-Out Timer setting (00=OFF, 01=3 min., 02=5 min., 03=10 min., 04=20 min., 05=30 min.)"
"1A","05,0014","00/01","Send/read the PTT Lock function setting (00=OFF, 01=ON)"
"1A","05,0015","00/01","Send/read the Quick Split function setting (00=OFF, 01=ON)"
"1A","05,0016","see p. 20-13","Send/read the Split offset frequency"
"1A","05,0017","00/01","Send/read the Split Lock function setting (00=OFF, 01=ON)"
"1A","05,0018","see p. 20-13","Send/read the Duplex offset frequency"
"1A","05,0019","00/01","Send/read the One Touch Repeater setting (00=DUP-, 01=DUP+)"
"1A","05,0020","00 to 02","Send/read the Auto Repeater setting (00=OFF, 01=ON(DUP), 02=ON(DUP,TONE))"
"1A","05,0021","00/01","Send/read the Tuner Auto Start setting (00=OFF, 01=ON)"
"1A","05,0022","00/01","Send/read the PTT Tune setting (00=OFF, 01=ON)"
"1A","05,0023","00/01","Send/read the [TUNER] Switch function (00=Manual, 01=Auto)"
"1A","05,0024","00/01","Send/read [SPEECH/LOCK] key function (00=SPEECH/LOCK, 01=LOCK/SPEECH)"
"1A","05,0025","00/01","Send/read the Lock function setting (00=MAIN DIAL, 01=PANEL)"
"1A","05,0026","00/01","Send/read the number of memo pad channels (00=5CH, 01=10CH)"
"1A","05,0027","00 to 02","Send/read the Auto TS setting for the Dial (00=OFF, 01=LOW, 02=HIGH)"
"1A","05,0028","00/01","Send/read the microphone Up/Down speed setting (00=Slow, 01=Fast)"
"1A","05,0029","00 to 02","Send/read the Notch function setting for SSB mode (00=Auto, 01=Manual, 02=Auto/Manual)"
"1A","05,0030","00 to 02","Send/read the Notch function setting for AM mode (00=Auto, 01=Manual, 02=Auto/Manual)"
"1A","05,0031","00/01","Send/read the SSB/CW Synchronous Tuning function setting (00=OFF, 01=ON)"
"1A","05,0032","00/01","Send/read the CW normal side setting (00=LSB, 01=USB)"
"1A","05,0033","00/01","Send/read the voice 1st menu (00=VOICE-Root, 01=VOICE-TX)"
"1A","05,0034","00/01","Send/read the keyer 1st menu (00=KEYER-Root, 01=KEYER-SEND)"
"1A","05,0035","00/01","Send/read the Speaker output setting (00=OFF, 01=ON)"
"1A","05,0036","00/01","Send/read the MIC AF output setting (00=OFF, 01=ON)"
"1A","05,0037","00 to 22","Send/read the function of [F-1] on the HM-151"
"1A","05,0038","00 to 22","Send/read the function of [F-2] on the HM-151"
"1A","05,0039","00/01","Send/read the SSB mode selection of the [MODE] key (00=OFF, 01=ON)"
"1A","05,0040","00/01","Send/read the CW mode selection of the [MODE] key (00=OFF, 01=ON)"
"1A","05,0041","00/01","Send/read the RTTY mode selection of the [MODE] key (00=OFF, 01=ON)"
"1A","05,0042","00/01","Send/read the AM mode selection of the [MODE] key (00=OFF, 01=ON)"
"1A","05,0043","00/01","Send/read the FM mode selection of the [MODE] key (00=OFF, 01=ON)"
"1A","05,0044","00/01","Send/read the DV mode selection of the [MODE] key (00=OFF, 01=ON)"
"1A","05,0045","00/01","Send/read the WFM mode selection of the [MODE] key (00=OFF, 01=ON)"
"1A","05,0046","00/01","Send/read the Power OFF setting when no controller is connected (00=OFF, 01=ON)"
"1A","05,0047","0000 ~ 0255","Send/read the REF Adjust setting (0000=0%, 0128=50%, 0255=100%)"
"1A","05,0048","00 to 02","Send/read the RX Call Sign SPEECH setting (00=OFF, 01=ON(Kerchunk), 02=ON(All))"
"1A","05,0049","00/01","Send/read the RX>CS SPEECH function setting (00=OFF, 01=ON)"
"1A","05,0050","00/01","Send/read the S-Level SPEECH function setting (00=OFF, 01=ON)"
"1A","05,0051","00/01","Send/read the MODE SPEECH function setting (00=OFF, 01=ON)"
"1A","05,0052","00/01","Send/read the speech language (00=English, 01=Japanese)"
"1A","05,0053","00/01","Send/read the Alphabet setting for SPEECH (00=Normal, 01=Phonetic Code)"
"1A","05,0054","00/01","Send/read the speech speed setting (00=Slow, 01=Fast)"
"1A","05,0055","0000 ~ 0255","Send/read the speech level (0000=0% to 0255=100%)"
"1A","05,0056","see p. 20-11","Send/read the SSB RX HPF/LPF setting"
"1A","05,0057","00 to 10","Send/read the SSB RX Tone (Bass) level (00=-5 to 10=+5)"
"1A","05,0058","00 to 10","Send/read the SSB RX Tone (Treble) level (00=-5 to 10=+5)"
"1A","05,0059","see p. 20-11","Send/read the AM RX HPF/LPF setting"
"1A","05,0060","00 to 10","Send/read the AM RX tone (Bass) level (00=-5 to 10=+5)"
"1A","05,0061","00 to 10","Send/read the AM RX Tone (Treble) level (00=-5 to 10=+5)"
"1A","05,0062","see p. 20-11","Send/read the FM RX HPF/LPF setting"
"1A","05,0063","00 to 10","Send/read the FM RX tone (Bass) level (00=-5 to 10=+5)"
"1A","05,0064","00 to 10","Send/read the FM RX Tone (Treble) level (00=-5 to 10=+5)"
"1A","05,0065","see p. 20-11","Send/read the DV RX HPF/LPF setting"
"1A","05,0066","00 to 10","Send/read the DV RX tone (Bass) level (00=-5 to 10=+5)"
"1A","05,0067","00 to 10","Send/read the DV RX Tone (Treble) level (00=-5 to 10=+5)"
"1A","05,0068","00 to 10","Send/read the WFM RX Tone (Bass) level (00=-5 to 10=+5)"
"1A","05,0069","00 to 10","Send/read the WFM RX Tone (Treble) level (00=-5 to 10=+5)"
"1A","05,0070","00 to 10","Send/read the CW RX HPF/LPF setting"
"1A","05,0071","00 to 10","Send/read the RTTY RX HPF/LPF setting"
"1A","05,0072","00 to 10","Send/read the SSB TX Tone (Bass) level (00=-5 to 10=+5)"
"1A","05,0073","00 to 10","Send/read the SSB TX Tone (Treble) level (00=-5 to 10=+5)"
"1A","05,0074","see p. 20-11","Send/read the WIDE SSB TX bandwidth"
"1A","05,0075","see p. 20-11","Send/read the MID SSB TX bandwidth"
"1A","05,0076","see p. 20-11","Send/read the NARROW SSB TX bandwidth"
"1A","05,0077","00 to 10","Send/read the AM TX tone (Bass) level (00=-5 to 10=+5)"
"1A","05,0078","00 to 10","Send/read the AM TX Tone (Treble) level (00=-5 to 10=+5)"
"1A","05,0079","00 to 10","Send/read the FM TX tone (Bass) level (00=-5 to 10=+5)"
"1A","05,0080","00 to 10","Send/read the FM TX Tone (Treble) level (00=-5 to 10=+5)"
"1A","05,0081","00 to 10","Send/read the DV TX tone (Bass) level (00=-5 to 10=+5)"
"1A","05,0082","00 to 10","Send/read the DV TX Tone (Treble) level (00=-5 to 10=+5)"
"1A","05,0083","00/01","Send/read the USB audio squelch setting (00=OFF(OPEN), 01=ON)"
"1A","05,0084","00/01","Send/read the ACC and USB output setting (00=AF, 01=IF)"
"1A","05,0085","0000 ~ 0255","Send/read the ACC and USB AF output Level (0000=0% to 0255=100%)"
"1A","05,0086","0000 ~ 0255","Send/read the ACC and USB IF output Level (0000=0% to 0255=100%)"
"1A","05,0087","0000 ~ 0255","Send/read the ACC modulation level (0000=0% to 0255=100%)"
"1A","05,0088","0000 ~ 0255","Send/read the DATA modulation level (0000=0% to 0255=100%)"
"1A","05,0089","0000 ~ 0255","Send/read the USB modulation level (0000=0% to 0255=100%)"
"1A","05,0090","00 to 03","Send/read the modulation input setting in the DATA mode OFF (00=MIC, 01=ACC, 02=MIC,ACC, 03=USB)"
"1A","05,0091","00 to 03","Send/read the modulation input setting in the DATA mode ON (00=MIC, 01=ACC, 02=MIC,ACC, 03=USB)"
"1A","05,0092","00/01","Send/read the external keypad setting for VOICE (00=OFF, 01=ON)"
"1A","05,0093","00/01","Send/read the external keypad setting for Memory KEYER (00=OFF, 01=ON)"
"1A","05,0094","00/01","Send/read the external keypad setting for RTTY Memory (00=OFF, 01=ON)"
"1A","05,0095","00/01","Send/read the CI-V transceive setting (00=OFF, 01=ON)"
"1A","05,0096","00 to 02","Send/read the USB2 (COM port) function setting (00=OFF, 01=RTTY Decode, 02=DV Data)"
"1A","05,0097","00 to 03","Send/read the DATA1 function setting (00=OFF, 01=RTTY Decode, 02=DV Data, 03=GPS)"
"1A","05,0098","00/01","Send/read the GPS output setting (00=OFF, 01=DATA1→USB2)"
"1A","05,0099","00/01","Send/read the DV or GPS data transfer speed (00=4800 bps, 01=9600 bps)"
"1A","05,0100","00 to 04","Send/read the RTTY decode speed (00=300 bps, 01=1200 bps, 02=4800 bps, 03=9600 bps, 04=19200 bps)"
"1A","05,0101","00 to 02","Send/read the band setting for the [ACC] socket's pin 7 (VSEND) (00=OFF, 01=UHF, 02=VHF/UHF)"
"1A","05,0102","00/01","Send/read the 9600bps Mode setting (00=OFF, 01=ON)"
"1A","05,0103","0000 ~ 0255","Send/read the LCD contrast setting (0000=0% to 0255=100%)"
