"Cmd.","Sub cmd.","Data","Description"
"17","","See p. 16","Sends CW messages. When the transceiver is transmitting or the Break-in function is ON in the CW mode, a message will be transmitted as CW code when you remotely send it from the controller (PC)."
"18","00","","Turns the transceiver OFF."
"18","01","","Turns the transceiver ON. See p. 16."
"19","00","","Reads the transceiver ID."
"1A","00","See p. 17","Sets or reads a specific Memory channel content."
"1A","01","See p. 19","Sets or reads a specific band stacking register content."
"1A","02","See p. 19","Sets or reads a specific Keyer Memory content. Multiple channels can simultaneously have the same contest number. A single channel can have several contest numbers at the same time."
"1A","03","See p. 19","Sets or reads the IF filter width."
"1A","04","See p. 20","Sets or reads the AGC time constant."
"1A","05,0001","See p. 20","Sets or reads the RX HPF/LPF settings. (SSB)"
"1A","05,0002","00 ~ 10","Sets or reads the RX Tone (Bass) level. (SSB) (00=–5 ~ 10=+5)"
"1A","05,0003","00 ~ 10","Sets or reads the RX Tone (Treble) level. (SSB) (00=–5 ~ 10=+5)"
"1A","05,0004","See p. 20","Sets or reads the RX HPF/LPF settings. (AM)"
"1A","05,0005","00 ~ 10","Sets or reads the RX Tone (Bass) level. (AM) (00=–5 ~ 10=+5)"
"1A","05,0006","00 ~ 10","Sets or reads the RX Tone (Treble) level. (AM) (00=–5 ~ 10=+5)"
"1A","05,0007","See p. 20","Sets or reads the RX HPF/LPF settings. (FM)"
"1A","05,0008","00 ~ 10","Sets or reads the RX Tone (Bass) level. (FM) (00=–5 ~ 10=+5)"
"1A","05,0009","00 ~ 10","Sets or reads the RX Tone (Treble) level. (FM) (00=–5 ~ 10=+5)"
"1A","05,0010","See p. 20","Sets or reads the RX HPF/LPF settings. (CW)"
"1A","05,0011","See p. 20","Sets or reads the RX HPF/LPF settings. (RTTY)"
"1A","05,0012","00 ~ 10","Sets or reads the TX Tone (Bass) level. (SSB) (00=–5 ~ 10=+5)"
"1A","05,0013","00 ~ 10","Sets or reads the TX Tone (Treble) level. (SSB) (00=–5 ~ 10=+5)"
"1A","05,0014","See p. 20","Sets or reads the TBW (WIDE) setting."
"1A","05,0015","See p. 20","Sets or reads the TBW (MID) setting."
