"Cmd.","Sub cmd.","Data","Description","Band"
"1A","05,0133","00 ~ 04","USB SEND/Keying > Send/read the USB SEND setting ( 00=OFF, 01=USB (A) DTR, 02=USB (A) RTS, 03=USB (B) DTR, 04=USB (B) RTS) LUSB (A) and USB (B) are the 2 virtual COM ports on the [USB B] port on the controller’s rear panel. LYou cannot select the same setting for USB keying (CW) or USB keying (RTTY).",""
"1A","05,0134","00 ~ 04","USB SEND/Keying > Send/read the USB Keying (CW) setting ( 00=OFF, 01=USB (A) DTR, 02=USB (A) RTS, 03=USB (B) DTR, 04=USB (B) RTS) LUSB (A) and USB (B) are the 2 virtual COM ports on the [USB B] port on the controller’s rear panel. LYou cannot select the same setting for USB SEND.",""
"1A","05,0135","00 ~ 04","USB SEND/Keying > Send/read the USB Keying (RTTY) setting ( 00=OFF, 01=USB (A) DTR, 02=USB (A) RTS, 03=USB (B) DTR, 04=USB (B) RTS) LUSB (A) and USB (B) are the 2 virtual COM ports on the [USB B] port on the controller’s rear panel. LYou cannot select the same setting for USB SEND.",""
"1A","05,0136","00/01","External Keypad > Send/read the VOICE setting (00=OFF, 01=ON)",""
"1A","05,0137","00/01","External Keypad > Send/read the KEYER setting (00=OFF, 01=ON)",""
"1A","05,0138","00/01","External Keypad > Send/read the RTTY setting (00=OFF, 01=ON)",""
"1A","05,0139","00/01","External Keypad > Send/read the PSK setting (00=OFF, 01=ON)",""
"1A","05,0140","00/01","Keyboard/Mouse > Send/read the Keyboard [F1]-[F8] (VOICE) setting (00=OFF, 01=ON)",""
"1A","05,0141","00/01","Keyboard/Mouse > Send/read the Keyboard [F1]-[F8] (KEYER) setting (00=OFF, 01=ON)",""
"1A","05,0142","00 ~ 10","Keyboard/Mouse > Send/read the Keyboard Type setting ( 00=English, 01=Japanese, 02=United Kingdom, 03=French, 04=French (Canadian), 05=German, 06=Portuguese, 07=Portuguese (Brazilian), 08=Spanish, 09=Spanish (Latin American), 10=Italian)",""
"1A","05,0143","00 10 ~ 01 00","Keyboard/Mouse > Send/read the Keyboard Repeat Delay setting ( 00 10=100 msec. ~",""
"1A","05,0144","00 ~ 31","Keyboard/Mouse > Send/read the Keyboard Repeat Rate setting (00=2.0 cps ~ 31=30.0 cps)",""
"1A","05,0145","00 ~ 02","Keyboard/Mouse > Send/read the Mouse Pointer Speed setting (00=Slow, 01=Mid, 02=Fast)",""
"1A","05,0146","00/01","Keyboard/Mouse > Send/read the Mouse Pointer Acceleration setting (00=OFF, 01=ON)",""
"1A","05,0147","00/01","USB DIAL > Send/read the USB DIAL Select setting (00=Only Sub, 01=Main/Sub)",""
"1A","05,0148","00 ~ 02","USB DIAL > Send/read the USB DIAL Auto TS setting (00=OFF, 01=Low, 02=High)",""
"1A","05,0149","00/01","USB DIAL > Send/read the USB DIAL [TRANSMIT] Switch setting ( 00=Push to toggle, 01=Hold down to transmit)",""
"1A","05,0150","00/01","CI-V > Send/read the CI-V Transceive Switch setting (00=OFF, 01=ON)",""
"1A","05,0151","00 00 ~ 02 23","CI-V > Send/read the CI-V USB/LAN→ REMOTE Transceive Address setting (00 00=00h ~ 02 23=DFh) (in Hexadecimal)",""
"1A","05,0152","00/01","CI-V > Send/read the CI-V Output (for ANT) setting (00=OFF, 01=ON)",""
"1A","05,0153","00/01","CI-V > Send/read the CI-V USB (A) Echo Back setting (00=OFF, 01=ON)",""
"1A","05,0154","00/01","CI-V > Send/read the CI-V USB (B) Echo Back setting (00=OFF, 01=ON)",""
"1A","05,0155","00/01","CI-V > Send/read the USB (B) Function setting (00=RTTY/PSK Decode, 01=CI-V)",""
"1A","05,0156","00/01","Send/read the SEND Relay Type setting (00=Reed, 01=MOS-FET)",""
"1A","05,0157","00 ~ 02","Send/read the ACC BAND Voltage Output setting (00=MAIN, 01=SUB, 02=TX)",""
"1A","05,0158","00/01","Send/read the MIC Input DC Bias setting (00=OFF, 01=ON)",""
"1A","05,0159","00/01","Send/read the PTT Port Function setting ( 00=PTT Input, 01=PTT Input + SEND Output)",""
"1A","05,0160","00/01","Send/read the REF IN setting (00=IN, 01=OFF) SET > Network",""
"1A","05,0161","00/01","Send/read the DHCP (valid after restart) setting (00=OFF, 01=ON)",""
"1A","05,0162","See p. 21",". Send/read the IP Address (LAN) (valid after restart) setting LValid when the DHCP (valid after restart) is set to OFF. L You cannot set the same address as “IP Address (Controller),” “IP Address (RF Deck),” and “Default Gateway.”",""
"1A","05,0164","See p. 21",". Send/read the IP Address (Controller) (valid after restart) setting LValid when the DHCP (valid after restart) is set to OFF. L You cannot set the same address as “IP Address (LAN),” “IP Address (RF Deck),” and “Default Gateway.”",""
"1A","05,0165","See p. 21",". Send/read the IP Address (RF Deck) (valid after restart) setting LValid when the DHCP (valid after restart) is set to OFF. LYou cannot set the same address as “IP Address (LAN),” “IP Address (Controller),” and “Default Gateway.” LWhen “RF deck’s static IP address” (1A 05 01 71) is set to command “01,” set the address to",""
"1A","05,0166","01 ~ 30","Send/read the Subnet Mask (valid after restart) setting ( 01=128.0.0.0 (1 bit) ~ 30=255.255.255.252 (30 bit)) LValid when the DHCP (valid after restart) is set to OFF.",""
"1A","05,0167","See p. 21",". Send/read the Default Gateway (valid after restart) setting LValid when the DHCP (valid after restart) is set to OFF. LYou cannot set the same address as “IP Address (LAN).” LWhen “RF deck’s static IP address” (1A 05 01 71) is set to command “01,” set the address to",""
"1A","05,0168","See p. 21",". Send/read the Primary DNS Server (valid after restart) setting LValid when the DHCP (valid after restart) is set to OFF.",""
"1A","05,0169","See p. 21",". Send/read the Secondary DNS Server (valid after restart) setting LValid when the DHCP (valid after restart) is set to OFF. SET > Network > Controller Connection (via LAN) > Audio Buffer",""
"1A","05,0170","00 ~ 05","Send/read the Wired LAN (in Same Segment) setting ( 00=1 ms, 01=1.5 ms, 02=2 ms, 03=4 ms, 04=6 ms, 05=8 ms) LValid when “Connection Route” (1A 05 03 69) is set to command “00.” SET > Network > Controller Connection (via LAN) > RF Deck side Settings",""
"1A","05,0171","00/01","Send/read the RF deck’s static IP address setting (00=OFF, 01=ON) LWhen this item cannot be set to “OFF,” “FA” is returned.",""
"1A","05,0172","See p. 21",". Send/read the IP Address (RF Deck) (valid after restart) setting LValid when “RF deck’s static IP address” (1A 05 01 71) is set to command “01.”",""
"1A","05,0173","01 ~ 30","Send/read the Subnet Mask (RF Deck) (valid after restart) setting ( 01=128.0.0.0 (1 bit) ~ 30=255.255.255.252 (30 bit)) LValid when “RF deck’s static IP address” (1A 05 01 71) is set to command “01.”",""
"1A","05,0174","See p. 21",". Send/read the Default Gateway (RF Deck) (valid after restart) setting LValid when “RF deck’s static IP address” (1A 05 01 71) is set to command “01.” LYou cannot set the same address as “IP Address (RF Deck).” SET > Network > Controller Connection (via LAN) > Audio Buffer",""
"1A","05,0175","00 ~ 04","Send/read the Wired LAN (from Different Segment) setting ( 00=1.5 ms, 01=2.5 ms, 02=4 ms, 03=6 ms, 04=8 ms) LValid when “Connection Route” (1A 05 03 69) is set to command between “01” and “03.” SET > Network",""
"1A","05,0176","See p. 19",". Send/read the Network Name (valid after restart) setting (Up to 15 characters)",""
"1A","05,0177","00/01","Send/read the Network Control (valid after restart) setting (00=OFF, 01=ON)",""
"1A","05,0178","00/01","Send/read the Shutdown Function setting ( 00=Only Shutdown, 01=Standby/Shutdown)",""
"1A","05,0179","00","00 01 ~",""
"1A","05,0180","00","00 01 ~",""
"1A","05,0181","00","00 01 ~",""
"1A","05,0182","00/01","Send/read the Internet Access Line (valid after restart) setting ( 00=FTTH (Fiber To The Home), 01=ADSL/CATV)",""
"1A","05,0183","See p. 19",". Send/read the Network Radio Name setting (Up to 16 characters) SET > Display",""
"1A","05,0184","00 00 ~ 02 55","Send/read the LCD Backlight setting (00 00=0% ~ 02 55=100%)",""
"1A","05,0185","00 00 ~ 02 55","Send/read the LED Bright setting (00 00=0% ~ 02 55=100%)",""
"1A","05,0186","00/01","Send/read the Display Font setting (00=Square, 01=Round)",""
"1A","05,0187","00 ~ 02","Send/read the Meter Response (Standard, Edgewise) setting (00=Slow, 01=Mid, 02=Fast)",""
"1A","05,0188","00 ~ 02","Send/read the Meter Type (Normal Screen) setting (00=Standard, 01=Edgewise, 02=Bar)",""
"1A","05,0189","00/01","Send/read the Meter Type (Expand Screen) setting (00=Edgewise, 01=Bar)",""
"1A","05,0190","00/01","Send/read the Meter Peak Hold (Bar) setting (00=OFF, 01=ON)",""
"1A","05,0191","00/01","Send/read the Memory Name setting (00=OFF, 01=ON) SET > Display > Filter Effect Screen",""
"1A","05,0192","00/01","Send/read the Waveform Type setting (00=Line, 01=Fill)",""
"1A","05,0193","See p. 22",". Send/read the Waveform Color setting",""
"1A","05,0194","00 ~ 03","Send/read the Screen Saver setting ( 00=OFF, 01=15 minutes, 02=30 minutes, 03=60 minutes)",""
"1A","05,0195","00/01","Send/read the External Display setting (00=OFF, 01=ON)",""
"1A","05,0196","00/01","Send/read the External Display Resolution setting (00=800x480, 01=800x600)",""
"1A","05,0197","00/01","Send/read the Opening Message setting (00=OFF, 01=ON)",""
"1A","05,0198","See p. 19",". Send/read the My Call setting (Up to 10 characters)",""
"1A","05,0199","00/01","Send/read the Display Language setting (00=English, 01=Japanese) SET > Time Set",""
"1A","05,0200","20","20 01 01 ~",""
"1A","05,0214","See p. 22",". Send/read the Waveform Color (Current) setting",""
"1A","05,0215","See p. 22",". Send/read the Waveform Color (Line) setting",""
"1A","05,0216","See p. 22",". Send/read the Waveform Color (Max Hold) setting",""
"1A","05,0217","00/01","Send/read the Waterfall Display setting (00=OFF, 01=ON)",""
"1A","05,0218","00 ~ 02","Send/read the Waterfall Speed setting (00=Slow, 01=Mid, 02=Fast)",""
"1A","05,0219","00 ~ 02","Send/read the Waterfall Size (Expand Screen) setting (00=Small, 01=Mid, 02=Large)",""
"1A","05,0220","00 ~ 09","Send/read the Waterfall Peak Color Level setting (00=Grid 1 ~ 09=Grid 10)",""
"1A","05,0221","00/01","Send/read the Waterfall Marker Auto-hide setting (00=OFF, 01=ON)",""
"1A","05,0222","00/01","Send/read the Dual Scope Type setting (00=Over/Under, 01=Side by Side)",""
"1A","05,0223","00/01","Send/read the Dual Scope Auto Select setting (00=OFF, 01=ON) SCOPE > EXPD/SET (Touch for 1 second) > Fixed Edges",""
"1A","05,0224","See p. 22",". 0.03 – 1.60 > Send/read the No.1 setting",""
"1A","05,0225","See p. 22",". 0.03 – 1.60 > Send/read the No.2 setting",""
"1A","05,0226","See p. 22",". 0.03 – 1.60 > Send/read the No.3 setting",""
"1A","05,0227","See p. 22",". 0.03 – 1.60 > Send/read the No.4 setting",""
"1A","05,0228","See p. 22",". 1.60 – 2.00 > Send/read the No.1 setting",""
"1A","05,0229","See p. 22",". 1.60 – 2.00 > Send/read the No.2 setting",""
"1A","05,0230","See p. 22",". 1.60 – 2.00 > Send/read the No.3 setting",""
"1A","05,0231","See p. 22",". 1.60 – 2.00 > Send/read the No.4 setting",""
"1A","05,0232","See p. 22",". 2.00 – 6.00 > Send/read the No.1 setting",""
"1A","05,0233","See p. 22",". 2.00 – 6.00 > Send/read the No.2 setting",""
"1A","05,0234","See p. 22",". 2.00 – 6.00 > Send/read the No.3 setting",""
"1A","05,0235","See p. 22",". 2.00 – 6.00 > Send/read the No.4 setting",""
"1A","05,0236","See p. 22",". 6.00 – 8.00 > Send/read the No.1 setting",""
"1A","05,0237","See p. 22",". 6.00 – 8.00 > Send/read the No.2 setting",""
"1A","05,0238","See p. 22",". 6.00 – 8.00 > Send/read the No.3 setting",""
"1A","05,0239","See p. 22",". 6.00 – 8.00 > Send/read the No.4 setting",""
"1A","05,0240","See p. 22",". 8.00 – 11.00 > Send/read the No.1 setting",""
"1A","05,0241","See p. 22",". 8.00 – 11.00 > Send/read the No.2 setting",""
"1A","05,0242","See p. 22",". 8.00 – 11.00 > Send/read the No.3 setting",""
"1A","05,0243","See p. 22",". 8.00 – 11.00 > Send/read the No.4 setting",""
"1A","05,0244","See p. 22",". 11.00 – 15.00 > Send/read the No.1 setting",""
"1A","05,0245","See p. 22",". 11.00 – 15.00 > Send/read the No.2 setting",""
"1A","05,0246","See p. 22",". 11.00 – 15.00 > Send/read the No.3 setting",""
"1A","05,0247","See p. 22",". 11.00 – 15.00 > Send/read the No.4 setting",""
"1A","05,0248","See p. 22",". 15.00 – 20.00 > Send/read the No.1 setting",""
"1A","05,0249","See p. 22",". 15.00 – 20.00 > Send/read the No.2 setting",""
"1A","05,0250","See p. 22",". 15.00 – 20.00 > Send/read the No.3 setting",""
"1A","05,0251","See p. 22",". 15.00 – 20.00 > Send/read the No.4 setting",""
"1A","05,0252","See p. 22",". 20.00 – 22.00 > Send/read the No.1 setting",""
"1A","05,0253","See p. 22",". 20.00 – 22.00 > Send/read the No.2 setting",""
"1A","05,0254","See p. 22",". 20.00 – 22.00 > Send/read the No.3 setting",""
"1A","05,0255","See p. 22",". 20.00 – 22.00 > Send/read the No.4 setting",""
"1A","05,0256","See p. 22",". 22.00 – 26.00 > Send/read the No.1 setting",""
"1A","05,0257","See p. 22",". 22.00 – 26.00 > Send/read the No.2 setting",""
"1A","05,0258","See p. 22",". 22.00 – 26.00 > Send/read the No.3 setting",""
"1A","05,0259","See p. 22",". 22.00 – 26.00 > Send/read the No.4 setting",""
"1A","05,0260","See p. 22",". 26.00 – 30.00 > Send/read the No.1 setting",""
"1A","05,0261","See p. 22",". 26.00 – 30.00 > Send/read the No.2 setting",""
"1A","05,0262","See p. 22",". 26.00 – 30.00 > Send/read the No.3 setting",""
"1A","05,0263","See p. 22",". 26.00 – 30.00 > Send/read the No.4 setting",""
"1A","05,0264","See p. 22",". 30.00 – 45.00 > Send/read the No.1 setting",""
"1A","05,0265","See p. 22",". 30.00 – 45.00 > Send/read the No.2 setting",""
"1A","05,0266","See p. 22",". 30.00 – 45.00 > Send/read the No.3 setting",""
"1A","05,0267","See p. 22",". 30.00 – 45.00 > Send/read the No.4 setting",""
"1A","05,0268","See p. 22",". 45.00 – 60.00 > Send/read the No.1 setting",""
"1A","05,0269","See p. 22",". 45.00 – 60.00 > Send/read the No.2 setting",""
"1A","05,0270","See p. 22",". 45.00 – 60.00 > Send/read the No.3 setting",""
"1A","05,0271","See p. 22",". 45.00 – 60.00 > Send/read the No.4 setting AUDIO SCOPE SET: AUDIO > SET",""
"1A","05,0272","00/01","Send/read the FFT Scope Waveform Type setting (00=Line, 01=Fill)",""
"1A","05,0273","See p. 22",". Send/read the FFT Scope Waveform Color setting",""
"1A","05,0274","00/01","Send/read the FFT Scope Waterfall Display setting (00=OFF, 01=ON)",""
"1A","05,0275","See p. 22",". Send/read the Oscilloscope Waveform Color setting KEYER 001: KEYER > EDIT/SET > 001 SET",""
"1A","05,0276","00 ~ 04","Send/read the Number Style setting ( 00=Normal, 01=190→ANO, 02=190→ANT, 03=90→NO, 04=90→NT)",""
"1A","05,0277","00/01","Send/read the Count Up Trigger (M1) setting (00=OFF, 01=ON)",""
"1A","05,0278","00/01","Send/read the Count Up Trigger (M2) setting (00=OFF, 01=ON)",""
"1A","05,0279","00/01","Send/read the Count Up Trigger (M3) setting (00=OFF, 01=ON)",""
"1A","05,0280","00/01","Send/read the Count Up Trigger (M4) setting (00=OFF, 01=ON)",""
"1A","05,0281","00/01","Send/read the Count Up Trigger (M5) setting (00=OFF, 01=ON)",""
"1A","05,0282","00/01","Send/read the Count Up Trigger (M6) setting (00=OFF, 01=ON)",""
"1A","05,0283","00/01","Send/read the Count Up Trigger (M7) setting (00=OFF, 01=ON)",""
"1A","05,0284","00/01","Send/read the Count Up Trigger (M8) setting (00=OFF, 01=ON)",""
"1A","05,0285","00 01 ~ 99 99","Send/read the Present Number setting (00 01=1 ~ 99 99=9999)",""
"1A","05,0286","00 00 ~ 02 55","Send/read the Side Tone Level setting (00 00=0% ~ 02 55=100%)",""
"1A","05,0287","00/01","Send/read the Side Tone Level Limit setting (00=OFF, 01=ON)",""
"1A","05,0288","01 ~ 60","Send/read the Keyer Repeat time setting (01=1 sec. ~ 60=60 sec.)",""
"1A","05,0289","28 ~ 45","Send/read the Dot/Dash Ratio setting (28=1:1:2.8 ~ 45=1:1:4.5; 0.1 steps)",""
"1A","05,0290","00 ~ 03","Send/read the Rise Time setting ( 00=2 msec., 01=4 msec., 02=6 msec., 03=8 msec.)",""
"1A","05,0291","00/01","Send/read the Paddle Polarity setting (00=Normal, 01=Reverse)",""
"1A","05,0292","00 ~ 02","Send/read the Key Type setting (00=Straight, 01=Bug, 02=Paddle)",""
"1A","05,0293","00/01","Send/read the MIC Up/Down Keyer setting (00=OFF, 01=ON) RTTY DECODE SET: DECODE > <MENU1> > SET",""
"1A","05,0294","00 ~ 03","Send/read the FFT Scope Averaging setting (00=OFF, 01=2, 02=3, 03=4)",""
"1A","05,0295","See p. 22",". Send/read the FFT Scope Waveform Color setting",""
"1A","05,0296","00/01","Send/read the Decode USOS setting (00=OFF, 01=ON)",""
"1A","05,0297","00/01","Send/read the Decode LineFeed Code setting (00=CR, LF, CR+LF, 01=CR+LF)",""
"1A","05,0298","00 ~ 02","Send/read the Diddle setting (00=OFF, 01=BLANK, 02=LTRS)",""
"1A","05,0299","00/01","Send/read the TX USOS setting (00=OFF, 01=ON)",""
"1A","05,0300","00/01","Send/read the TX Auto CR+LF by TX setting (00=OFF, 01=ON)",""
"1A","05,0301","00/01","Send/read the Time Stamp setting (00=OFF, 01=ON)",""
"1A","05,0302","00/01","Send/read the Time Stamp (Time) setting ( 00=Local, 01=“CLOCK2 UTC Offset” setting)",""
"1A","05,0303","00/01","Send/read the Time Stamp (Frequency) setting (00=OFF, 01=ON)",""
"1A","05,0304","See p. 22",". Send/read the Font Color (Receive) setting",""
"1A","05,0305","See p. 22",". Send/read the Font Color (Transmit) setting",""
"1A","05,0306","See p. 22",". Send/read the Font Color (Time Stamp) setting",""
"1A","05,0307","See p. 22",". Send/read the Font Color (TX Buffer) setting",""
"1A","05,0308","00/01","Send/read the Count Up Trigger (RT1) setting (00=OFF, 01=ON)",""
"1A","05,0309","00/01","Send/read the Count Up Trigger (RT2) setting (00=OFF, 01=ON)",""
"1A","05,0310","00/01","Send/read the Count Up Trigger (RT3) setting (00=OFF, 01=ON)",""
"1A","05,0311","00/01","Send/read the Count Up Trigger (RT4) setting (00=OFF, 01=ON)",""
"1A","05,0312","00/01","Send/read the Count Up Trigger (RT5) setting (00=OFF, 01=ON)",""
"1A","05,0313","00/01","Send/read the Count Up Trigger (RT6) setting (00=OFF, 01=ON)",""
"1A","05,0314","00/01","Send/read the Count Up Trigger (RT7) setting (00=OFF, 01=ON)",""
"1A","05,0315","00/01","Send/read the Count Up Trigger (RT8) setting (00=OFF, 01=ON)",""
"1A","05,0316","00 01 ~ 99 99","Send/read the Present Number setting (00 01=1 ~ 99 99=9999) RTTY DECODE LOG: DECODE > <MENU1> > LOG",""
"1A","05,0317","00/01","Send/read the Decode Log setting (00=OFF, 01=ON)",""
"1A","05,0318","00/01","Send/read the File Type setting (00=Text, 01=HTML) PSK DECODE SET: DECODE > <MENU1> > SET",""
"1A","05,0319","00 ~ 03","Send/read the FFT Scope Averaging setting (00=OFF, 01=2, 02=3, 03=4)",""
"1A","05,0320","See p. 22",". Send/read the FFT Scope Waveform Color setting",""
"1A","05,0321","00/01","Send/read the AFC Range setting (00=±8 Hz, 01=±15 Hz)",""
"1A","05,0322","00/01","Send/read the Time Stamp setting (00=OFF, 01=ON)",""
"1A","05,0323","00/01","Send/read the Time Stamp (Time) setting ( 00=Local, 01=“CLOCK2 UTC Offset” setting)",""
"1A","05,0324","00/01","Send/read the Time Stamp (Frequency) setting (00=OFF, 01=ON)",""
"1A","05,0325","See p. 22",". Send/read the Font Color (Receive) setting",""
"1A","05,0326","See p. 22",". Send/read the Font Color (Transmit) setting",""
"1A","05,0327","See p. 22",". Send/read the Font Color (Time Stamp) setting",""
"1A","05,0328","See p. 22",". Send/read the Font Color (TX Buffer) setting",""
"1A","05,0329","00/01","Send/read the Decode Log setting (00=OFF, 01=ON)",""
"1A","05,0330","00/01","Log Set > Send/read the File Type setting (00=Text, 01=HTML) SCAN SET: SCAN > SET",""
"1A","05,0331","00/01","Send/read the SCAN Speed setting (00=Slow, 01=Fast)",""
"1A","05,0332","00/01","Send/read the SCAN Resume setting (00=OFF, 01=ON) VOICE TX: VOICE > TX LEVEL",""
"1A","05,0333","00 00 ~ 02 55","Send/read the TX LEVEL setting (00 00=0% ~ 02 55=100%) VOICE TX SET: VOICE > REC/SET > SET",""
"1A","05,0334","00/01","Send/read the Auto Monitor setting (00=OFF, 01=ON)",""
"1A","05,0335","01 ~ 15","Send/read the Repeat Time setting (01=1 sec. ~ 15=15 sec.) RECORD > Recorder Set",""
"1A","05,0336","00/01","Send/read the TX REC Audio setting (00=Direct, 01= Monitor)",""
"1A","05,0337","00/01","Send/read the RX REC Condition setting (00=Always, 01=Squelch Auto)",""
"1A","05,0338","00/01","Send/read the File Split setting (00=OFF, 01=ON)",""
"1A","05,0339","00/01","Send/read the PTT Auto REC setting (00=OFF, 01=ON)",""
"1A","05,0340","00 ~ 03","Send/read the PRE-REC for PTT Auto REC setting ( 00=OFF, 01=5sec, 02=10sec, 03=15sec) RECORD > Player Set",""
"1A","05,0341","00 ~ 03","Send/read the Skip Time setting ( 00=3sec, 01=5sec, 02=10sec, 03=30sec) RECORD > Instant Replay Set",""
"1A","05,0342","05 ~ 30","Send/read the REC Time setting (05=5 sec., ~ 30=30 sec.)",""
"1A","05,0343","03 ~ 10","Send/read the Play Time setting (03=3 sec., ~ 10=10 sec.) TYPE SET: ANTENNA > TYPE",""
"1A","05,0344","00/01","Send/read the ANT2 Connector setting (00=OFF, 01=ON)",""
"1A","05,0345","00/01","Send/read the ANT3 Connector setting (00=OFF, 01=ON)",""
"1A","05,0346","00/01","Send/read the ANT4 Connector setting (00=OFF, 01=ON)",""
"1A","05,0347","00/01","Send/read the RX-ANT Connectors setting ( 00=Connect an receive antenna, 01=Connect an external device)",""
"1A","05,0348","00 ~ 03","Send/read the External Antenna Tuner Connection setting (00=ANT1 ~ 03=ANT4)",""
"1A","05,0349","See p. 22",". ANTENNA MEMORY (0.03 MHz ~ 1.60 MHz)",""
"1A","05,0350","See p. 22",". ANTENNA MEMORY (1.60 MHz ~ 2.00 MHz)",""
"1A","05,0351","See p. 22",". ANTENNA MEMORY (2.00 MHz ~ 6.00 MHz)",""
"1A","05,0352","See p. 22",". ANTENNA MEMORY (6.00 MHz ~ 8.00 MHz)",""
"1A","05,0353","See p. 22",". ANTENNA MEMORY (8.00 MHz ~ 11.00 MHz)",""
"1A","05,0354","See p. 22",". ANTENNA MEMORY (11.00 MHz ~ 15.00 MHz)",""
"1A","05,0355","See p. 22",". ANTENNA MEMORY (15.00 MHz ~ 20.00 MHz)",""
"1A","05,0356","See p. 22",". ANTENNA MEMORY (20.00 MHz ~ 22.00 MHz)",""
"1A","05,0357","See p. 22",". ANTENNA MEMORY (22.00 MHz ~ 26.00 MHz)",""
"1A","05,0358","See p. 22",". ANTENNA MEMORY (26.00 MHz ~ 30.00 MHz)",""
"1A","05,0359","See p. 22",". ANTENNA MEMORY (30.00 MHz ~ 45.00 MHz)",""
"1A","05,0360","See p. 22",". ANTENNA MEMORY (45.00 MHz ~ 60.00 MHz)",""
"1A","05,0361","00/01","Send/read the Temporary memory (TEMP-M) function setting (00=OFF, 01=ON)",""
"1A","05,0362","00/01","Send/read the Antenna selection mode ([ANT] SW) setting (00=Manual, 01=Auto) NB: Function > NB (Touch for 1 second)",""
"1A","05,0363","00 ~ 09","Send/read the DEPTH setting (00=1 ~ 09=10)",""
"1A","05,0364","00 00 ~ 02 55","Send/read the WIDTH setting (00 00=1 ~ 02 55=100) VOX: Function > VOX (Touch for 1 second)",""
"1A","05,0365","00 ~ 20","Send/read the VOX delay setting ( 00=0.0 sec. ~ 20=2.0 sec.; 0.1 sec steps)",""
"1A","05,0366","00 ~ 03","Send/read the VOX Voice delay setting ( 00=OFF, 01=Short, 02=Mid, 03=Long) APF: Function > APF (Touch for 1 second)",""
"1A","05,0367","00/01","Send/read the TYPE setting (00=SHARP, 01=SOFT)",""
"1A","05,0368","00 ~ 06","Send/read the AF LEVEL setting (00=0 dB ~ 06=6 dB)",""
"1A","05,0369","00 ~ 08","Send/read the Connection Route (valid after restart) setting ( 00=LAN (in Same Segment), 01=LAN (from Different Segment), 02=LAN (by on Controller Port FWD), 03=LAN (by on RF Deck Port FWD), 04=Internet (by on Both sides Port FWD), 05=Internet (by on Controller Port FWD), 06=Internet (L2 VPN in Same Segment), 07=Internet (L3 VPN from Diff Segment), 08=Internet (with Static IP Address))",""
"1A","05,0370","00/01","Send/read The Route includes Wireless LAN setting (00=OFF, 01=ON) SET > Network > Controller Connection (via LAN) > Port Forwarding Settings",""
"1A","05,0371","See p. 19",". Send/read the Connection Destination (RF Deck WAN Address) (valid after restart) setting SET > Network > Controller Connection (via LAN) > Audio Buffer",""
"1A","05,0372","00 ~ 12","Send/read the Wired LAN (via Internet) setting ( 00=10 ms, 01=20 ms, 02=30 ms, 03=40 ms, 04=60 ms, 05=80 ms, 06=100 ms, 07=120 ms, 08=150 ms, 09=200 ms, 10=250ms, 11=300 ms, 12=400 ms) LValid when “Connection Route” (1A 05 03 69) is set to command between “04” and “08.”",""
"1A","05,0373","00 ~ 12","Send/read the Includes Wireless LAN setting ( 00=10 ms, 01=20 ms, 02=30 ms, 03=40 ms, 04=60 ms, 05=80 ms, 06=100 ms, 07=120 ms, 08=150 ms, 09=200 ms, 10=250ms, 11=300 ms, 12=400 ms) LValid when “The Route includes Wireless LAN” (1A 05 03 70) is set to command “01.”",""
"1A","05,0374","00/01","Send/read the Audio Retransmission setting (00=OFF, 01=ON) LValid when “Connection Route” (1A 05 03 69) is set to command between “04” and “08,” or “The Route includes Wireless LAN” (1A",""
"1A","05,0503","","70) is set to command “01.”",""
"1A","05,0655","35","Send/read the Control Port (UDP) (valid after restart) setting (00 00 01=1 ~ 06 55 35=65535)",""
"1A","05,0929","00/01","Send/read the AF Mute setting (00=OFF, 01=ON) 0A 00/01 Read the OVF indicator status (00=OFF, 01=ON)",""
"1A","0D","00 ~ 04",", FF Read the External Tuner Connection ( 00=Not connected, 01=Connected to ANT1, 02=Connected to ANT2, 03=Connected to ANT3, 04=Connected to ANT4, FF=Getting connection status) LOnly Icom antenna tuners can",""
"1A","1A","0C","See p. 22. Send/read the TX Power Limit setting LYou can also set in 1A 05 00 32 ~ 00 53.",""
"1A","20","99","12 31 Date/Time > Send/read the Date setting ( 20 20 01 01=2020/01/01 ~",""
"1A","BE","","read. 1B",""
"1A","","00","See p. 19. Send/read memory contents",""
"1B","00","See p. 23","Send/read the Repeater tone frequency",""
"1B","01","See p. 23","Send/read the TSQL tone frequency",""
"1C","01","See p. 17",". Read TX band edge frequencies",""
"1C","02","","Read number of user-set TX frequency band",""
"1C","1E","00","Read number of available TX frequency band",""
"1C","","00","00/01 Send/read the transceiver’s status (00=RX, 01=TX) LWhen “CI-V Output (for ANT)” (Command: 1C 04) is set to “ON,” automatically outputs when changed.",""
"1C","","04","00/01 Send/read the CI-V Output (for ANT) setting (00=OFF, 01=ON)",""
"1E","00","","Read number of available TX frequency band",""
"1E","01","See p. 17","Read TX band edge frequencies",""
"1E","02","","Read number of user-set TX frequency band",""
"1E","03","See p. 17","Send/read user-set TX band edge frequencies",""
"21","00","See p. 23",". Send/read the RIT/∂TX frequency",""
"21","01","00/01","Send/read the RIT setting (00=OFF, 01=ON)",""
"21","02","00/01","Send/read the ∂TX setting (00=OFF, 01=ON)",""
"24","00","00","Send/read TX output power setting (00=OFF, 01=ON)",""
"24","00","01","Set the TX output power for transceive (00=OFF, 01=ON)",""
