"Cmd.","Sub cmd.","Data","Description","Band"
"1A","05,0133","see p. 11","Network > Network Name (Up to 15 characters)",""
"1A","05,0134","00 or 01","Network > Network Control (valid after restart) (00=OFF, 01=ON)",""
"1A","05,0135","00 or 01","Network > Power OFF Setting (for Remote Control) (00=Shutdown only, 01=Standby/Shutdown)",""
"1A","05,0136","00 00 01 ~ 06 55 35","Network > Control Port (UDP) (valid after restart) (00 00 01=1 ~ 06 55 35=65535)",""
"1A","05,0137","00 00 01 ~ 06 55 35","Network > Serial Port (UDP) (valid after restart) (00 00 01=1 ~ 06 55 35=65535)",""
"1A","05,0138","0000000000000001 ~ 0255025502550254","SET > Network > IP Address (Valid after Restart) (0000000000000001=0.0.0.1 to 0255025502550254=255.255.255.254) (Valid when the DHCP (Valid after Restart) is set to OFF)",""
"1A","05,0139","0000000000000001 ~ 0255025502550254","SET > Network > DHCP (Valid after Restart) Read the IP address set by the DHCP server (0000000000000001=0.0.0.1 to 0255025502550254=255.255.255.254) (Valid when the DHCP setting (Valid after Restart) is set to OFF, the manually set IP address (static IP address) is returned)",""
"1A","05,0140","01 ~ 30","SET > Network > Subnet Mask (Valid after Restart) (01=128.0.0.0 (1 bit) to 30=255.255.255.252 (30 bit)) (Valid when the DHCP (Valid after Restart) setting is set to OFF)",""
"1A","05,0141","0000000000000001 ~ 0255025502550254, FF","SET > Network > Default Gateway (Valid after Restart) (0000000000000001=0.0.0.1 to 0255025502550254=255.255.255.254, FF=Blank) (Valid when the DHCP (Valid after Restart) setting is set to OFF)",""
"1A","05,0142","0000000000000001 ~ 0255025502550254, FF","SET > Network > Primary DNS Server (Valid after Restart) (0000000000000001=0.0.0.1 to 0255025502550254=255.255.255.254, FF=Blank) (Valid when the DHCP (Valid after Restart) setting is set to OFF)",""
"1A","05,0143","0000000000000001 ~ 0255025502550254, FF","SET > Network > 2nd DNS Server (Valid after Restart) (0000000000000001=0.0.0.1 to 0255025502550254=255.255.255.254, FF=Blank) (Valid when the DHCP (Valid after Restart) setting is set to OFF)",""
"1A","05,0144","00 or 01","Display > Display Font (00=Basic, 01=Round)",""
"1A","05,0145","00 ~ 02","Display > Meter Response (Standard, Edgewise) (00=Slow, 01=Mid, 02=Fast)",""
"1A","05,0146","00 ~ 02","Display > Meter Type (Normal Screen) (00=Standard, 01=Edgewise, 02=Bar)",""
"1A","05,0147","000001 ~ 065535","SET > Network > Control Port (UDP) (Valid after Restart) (000001=1 to 065535=65535)",""
"1A","05,0148","000001 ~ 065535","SET > Network > Serial Port (UDP) (Valid after Restart) (000001=1 to 065535=65535)",""
"1A","05,0149","000001 ~ 065535","SET > Network > Audio Port (UDP) (Valid after Restart) (000001=1 to 065535=65535)",""
"1A","05,0150","00 or 01","Display > APF-Width Popup (APF OFF→ON) (00=OFF, 01=ON)",""
"1A","05,0151","00 ~ 03","Display > Screen Saver ( 00=OFF, 01=15 minutes, 02=30 minutes, 03=60 minutes)",""
"1A","05,0152","00 or 01","Display > External Display (00=OFF, 01=ON)",""
"1A","05,0153","00 or 01","Display > External Display Resolution (00=800x480, 01=800x600)",""
"1A","05,0154","00 or 01","Display > Opening Message (00=OFF, 01=ON)",""
"1A","05,0155","see p. 11","Display > My Call (Up to 10 characters)",""
"1A","05,0156","00 or 01","Display > Power ON Check (00=OFF, 01=ON)",""
"1A","05,0157","00 or 01","Display > Display Language (00=English, 01=Japanese)",""
"1A","05,0158","20 00 01 01 ~ 20 99 12 31","Time Set > Date/Time > Date (20 00 01 01=2000/01/01 ~ 20 99 12 31=2099/12/31)",""
"1A","05,0159","00 00 ~ 23 59","Time Set > Date/Time > Time (00 00=00:00 ~ 23 59=23:59)",""
"1A","05,0160","00 or 01","Time Set > Date/Time > NTP Function (00=OFF, 01=ON)",""
"1A","05,0161","see p. 11","Time Set > Date/Time > NTP Server Address",""
"1A","05,0162","see p. 13","Time Set > UTC Offset",""
"1A","05,0163","00 or 01","Time Set > CLOCK2 Function (00=OFF, 01=ON)",""
"1A","05,0164","see p. 13","Time Set > CLOCK2 UTC Offset",""
"1A","05,0165","see p. 11","Time Set > CLOCK2 Name (Up to 3 characters)",""
"1A","05,0166","00 or 01","SCOPE > Scope during Tx (CENTER TYPE) (00=OFF, 01=ON)",""
"1A","05,0167","00 ~ 02","SCOPE > Max Hold (00=OFF, 01=10s Hold , 02=ON)",""
"1A","05,0168","00 ~ 02","SCOPE > CENTER Type Display ( 00=Filter center, 01=Carrier point center, 02=Carrier point center (Abs. Freq.))",""
"1A","05,0169","00 or 01","SCOPE > Marker Position (Fix Type/ SCROLL Type) (00=Filter center, 01 Carrier point)",""
"1A","05,0170","00 ~ 03","SCOPE > Averaging (00=OFF, 01=2, 02=3, 03=4)",""
"1A","05,0171","00 or 01","SCOPE > Waveform Type (00=Fill, 01=Fill+Line)",""
"1A","05,0172","see p. 12","SCOPE > Waveform Color (Current)",""
"1A","05,0173","see p. 12","SCOPE > Waveform Color (Line)",""
"1A","05,0174","see p. 12","SCOPE > Waveform Color (Max Hold)",""
"1A","05,0175","00 or 01","SCOPE > Waterfall Display (00=OFF, 01=ON)",""
"1A","05,0176","00 ~ 02","SCOPE > Waterfall Speed (00=Slow, 01=Mid, 02=Fast)",""
"1A","05,0177","00 ~ 02","SCOPE > Waterfall Size (Expand Screen) (00=Small, 01=Mid, 02=Large)",""
"1A","05,0178","00 ~ 09","SCOPE > Waterfall Peak Color Level (00=Grid 1 ~ 09=Grid 10)",""
"1A","05,0179","00 or 01","SCOPE > Waterfall Marker Auto-hide (00=OFF, 01=ON)",""
"1A","05,0179","20000101 ~ 20991231","SET > Time Set > Date/Time > Date (20000101=2000/01/01 to 20991231=2099/12/31)",""
"1A","05,0180","00 or 01","SCOPE > Dual Scope Type (00=Over/Under, 01=Side by Side)",""
"1A","05,0180","0000 ~ 2359","SET > Time Set > Date/Time > Time (0000=00:00 to 2359=23:59)",""
"1A","05,0181","00 or 01","SCOPE > Dual Scope Auto Select (00=OFF, 01=ON)",""
"1A","05,0182","see p. 12","SCOPE > Fixed Edges > 0.03 – 1.60 No.1",""
"1A","05,0183","see p. 12","SCOPE > Fixed Edges > 0.03 – 1.60 No.2",""
"1A","05,0184","see p. 12","SCOPE > Fixed Edges > 0.03 – 1.60 No.3",""
"1A","05,0185","see p. 12","SCOPE > Fixed Edges > 1.60 – 2.00 No.1",""
"1A","05,0186","see p. 12","SCOPE > Fixed Edges > 1.60 – 2.00 No.2",""
"1A","05,0187","see p. 12","SCOPE > Fixed Edges > 1.60 – 2.00 No.3",""
"1A","05,0188","see p. 12","SCOPE > Fixed Edges > 2.00 – 6.00 No.1",""
"1A","05,0189","00 ~ 02","SCOPE > CENTER Type Display (00=Filter center, 01=Carrier point center, 02=Carrier point center (Abs. Freq.))",""
"1A","05,0190","see p. 12","SCOPE > Fixed Edges > 2.00 – 6.00 No.3",""
"1A","05,0191","see p. 12","SCOPE > Fixed Edges > 6.00 – 8.00 No.1",""
"1A","05,0192","see p. 12","SCOPE > Fixed Edges > 6.00 – 8.00 No.2",""
"1A","05,0193","see p. 12","SCOPE > Fixed Edges > 6.00 – 8.00 No.3",""
"1A","05,0194","see p. 12","SCOPE > Fixed Edges > 8.00 – 11.00 No.1",""
"1A","05,0195","see p. 12","SCOPE > Fixed Edges > 8.00 – 11.00 No.2",""
"1A","05,0196","see p. 12","SCOPE > Fixed Edges > 8.00 – 11.00 No.3",""
"1A","05,0197","see p. 12","SCOPE > Fixed Edges > 11.00 – 15.00 No.1",""
"1A","05,0198","see p. 12","SCOPE > Fixed Edges > 11.00 – 15.00 No.2",""
"1A","05,0199","see p. 12","SCOPE > Fixed Edges > 11.00 – 15.00 No.3",""
"1A","05,0200","see p. 12","SCOPE > Fixed Edges > 15.00 – 20.00 No.1",""
"1A","05,0201","see p. 12","SCOPE > Fixed Edges > 15.00 – 20.00 No.2",""
"1A","05,0202","see p. 12","SCOPE > Fixed Edges > 15.00 – 20.00 No.3",""
"1A","05,0203","see p. 12","SCOPE > Fixed Edges > 20.00 – 22.00 No.1",""
"1A","05,0204","see p. 12","SCOPE > Fixed Edges > 20.00 – 22.00 No.2",""
"1A","05,0205","see p. 12","SCOPE > Fixed Edges > 20.00 – 22.00 No.3",""
"1A","05,0206","see p. 12","SCOPE > Fixed Edges > 22.00 – 26.00 No.1",""
"1A","05,0207","see p. 12","SCOPE > Fixed Edges > 22.00 – 26.00 No.2",""
"1A","05,0208","see p. 12","SCOPE > Fixed Edges > 22.00 – 26.00 No.3",""
"1A","05,0209","see p. 12","SCOPE > Fixed Edges > 26.00 – 30.00 No.1",""
"1A","05,0210","see p. 12","SCOPE > Fixed Edges > 26.00 – 30.00 No.2",""
"1A","05,0211","see p. 12","SCOPE > Fixed Edges > 26.00 – 30.00 No.3",""
"1A","05,0212","see p. 12","SCOPE > Fixed Edges > 30.00 – 45.00 No.1",""
"1A","05,0213","see p. 12","SCOPE > Fixed Edges > 30.00 – 45.00 No.2",""
"1A","05,0214","see p. 12","SCOPE > Fixed Edges > 30.00 – 45.00 No.3",""
"1A","05,0215","see p. 12","SCOPE > Fixed Edges > 45.00 – 60.00 No.1",""
